SLO Latency,SLO Throughput,Frontend,Cache,Backend,Average Latency,Peak Throughput,Cumulative Carbon Cost,Frontend Servers,Cache Servers,Backend Servers,Cache Hit Rate,Embodied Cost,Active Cost,Idle Cost,Replacement Cost,Frontend Size (GB),Cache Size (GB),Backend Size (GB),Total Size (GB),Simulation Years
10,10000000,DRAM,DRAM,Samsung PM9A3,4.256436,10000000.0,13795231132.16384,500000.0,500000.0,2000000.0,0.2048,2508800000.0,7912579959.164159,3373851172.9996805,0,2048000000.0,2048000000.0,7680000000.0,11776000000.0,1
10,10000000,DRAM,DRAM,Seagate Exos X18,7.500852,10000000.0,14698906668.154879,500000.0,500000.0,37037038.0,0.2048,2413333362.8,8713769554.481789,3571803750.87309,0,2048000000.0,2048000000.0,666666684000.0,670762684000.0,1
10,10000000,DRAM,DRAM,Fujifilm LTO Ultrium 9,7956.19282,10000000.0,12706630458.83264,500000.0,500000.0,25000000.0,0.2048,1469000000.0,7871099386.832639,3366531072.0000005,0,2048000000.0,2048000000.0,450000000000.0,454096000000.0,1
10,10000000,DRAM,DRAM,Project Silica,1594.59282,10000000.0,12550208544.03764,500000.0,500000.0,47619048.0,0.2048,1313333333.6,7870344138.437639,3366531072.0000005,0,2048000000.0,2048000000.0,333333336000.0,337429336000.0,1
10,10000000,DRAM,Samsung PM9A3,Samsung PM9A3,3.4465700000000004,10000000.0,8808663967.0144,500000.0,2000000.0,2000000.0,0.768,3097600000.0,4016457429.4655995,1694606537.5488002,0,2048000000.0,7680000000.0,7680000000.0,17408000000.0,1
10,10000000,DRAM,Samsung PM9A3,Seagate Exos X18,4.39313,10000000.0,9004697561.429491,500000.0,2000000.0,37037038.0,0.768,3002133362.8,4250204896.912393,1752359301.717099,0,2048000000.0,7680000000.0,666666684000.0,676394684000.0,1
10,10000000,DRAM,Samsung PM9A3,Fujifilm LTO Ultrium 9,2323.42801,10000000.0,7754626346.0224,500000.0,2000000.0,25000000.0,0.768,2057800000.0,4004355451.6224,1692470894.4000003,0,2048000000.0,7680000000.0,450000000000.0,459728000000.0,1
10,10000000,DRAM,Samsung PM9A3,Project Silica,467.42801,10000000.0,7598739335.523254,500000.0,2000000.0,47619048.0,0.768,1902133333.6,4004135107.523255,1692470894.4000003,0,2048000000.0,7680000000.0,333333336000.0,343061336000.0,1
10,10000000,Samsung PM9A3,DRAM,Samsung PM9A3,4.336426,10000000.0,8854460011.36384,2000000.0,500000.0,2000000.0,0.2048,3097600000.0,4057069015.9641595,1699790995.3996804,0,7680000000.0,2048000000.0,7680000000.0,17408000000.0,1
10,10000000,Samsung PM9A3,DRAM,Seagate Exos X18,7.5808420000000005,10000000.0,9758135547.354877,2000000.0,500000.0,37037038.0,0.2048,3002133362.8,4858258611.281789,1897743573.27309,0,7680000000.0,2048000000.0,666666684000.0,676394684000.0,1
10,10000000,Samsung PM9A3,DRAM,Fujifilm LTO Ultrium 9,7956.2728099999995,10000000.0,7765859338.0326395,2000000.0,500000.0,25000000.0,0.2048,2057800000.0,4015588443.63264,1692470894.4000003,0,7680000000.0,2048000000.0,450000000000.0,459728000000.0,1
10,10000000,Samsung PM9A3,DRAM,Project Silica,1594.67281,10000000.0,7609437423.237639,2000000.0,500000.0,47619048.0,0.2048,1902133333.6,4014833195.2376394,1692470894.4000003,0,7680000000.0,2048000000.0,333333336000.0,343061336000.0,1
10,10000000,Samsung PM9A3,Samsung PM9A3,Samsung PM9A3,3.52656,10000000.0,3867892846.2144003,2000000.0,2000000.0,2000000.0,0.768,3686400000.0,160946486.26559997,20546359.9488,0,7680000000.0,7680000000.0,7680000000.0,23040000000.0,1
10,10000000,Samsung PM9A3,Samsung PM9A3,Seagate Exos X18,4.47312,10000000.0,4063926440.629492,2000000.0,2000000.0,37037038.0,0.768,3590933362.8,394693953.71239316,78299124.11709855,0,7680000000.0,7680000000.0,666666684000.0,682026684000.0,1
10,10000000,Samsung PM9A3,Samsung PM9A3,Fujifilm LTO Ultrium 9,2323.508,10000000.0,2813855225.2224,2000000.0,2000000.0,25000000.0,0.768,2646600000.0,148844508.42239997,18410716.8,0,7680000000.0,7680000000.0,450000000000.0,465360000000.0,1
10,10000000,Samsung PM9A3,Samsung PM9A3,Project Silica,467.508,10000000.0,2657968214.723255,2000000.0,2000000.0,47619048.0,0.768,2490933333.6,148624164.32325503,18410716.8,0,7680000000.0,7680000000.0,333333336000.0,348693336000.0,1
