SLO Latency,SLO Throughput,Frontend,Cache,Backend,Average Latency,Peak Throughput,Cumulative Carbon Cost,Frontend Servers,Cache Servers,Backend Servers,Cache Hit Rate,Embodied Cost,Active Cost,Idle Cost,Replacement Cost,Frontend Size (GB),Cache Size (GB),Backend Size (GB),Total Size (GB),Simulation Years
10,10,DRAM,DRAM,Samsung PM9A3,4.580019352832,10.0,231494.94445893783,1.0,1.0,2.0,4.096e-07,3788.8,157825.86947264298,67422.67498629485,2457.6,4096.0,4096.0,7680.0,15872.0,10
10,10,DRAM,DRAM,Seagate Exos X18,8.660017681664,10.260000000000002,244209.42690278284,1.0,1.0,38.0,4.096e-07,3722.8,168181.89343081383,69979.13347196903,2325.6,4096.0,4096.0,684000.0,692192.0,10
10,10,DRAM,DRAM,Fujifilm LTO Ultrium 9,10004.495923385599,10.0,227383.85415030547,1.0,1.0,25.0,4.096e-07,2749.0,157304.23271030548,67330.62144,0,4096.0,4096.0,450000.0,458192.0,10
10,10,DRAM,DRAM,Project Silica,2004.4992001855999,10.08,227220.47617629325,1.0,1.0,48.0,4.096e-07,2593.6,157296.25473629325,67330.62144,0,4096.0,4096.0,336000.0,344192.0,10
10,10,DRAM,Samsung PM9A3,Samsung PM9A3,4.660008786560001,10.0,122496.78175950848,1.0,2.0,2.0,7.68e-07,3737.6000000000004,79994.56394220563,33849.41781730285,4915.2,4096.0,7680.0,7680.0,19456.0,10
10,10,DRAM,Samsung PM9A3,Seagate Exos X18,8.74000565312,10.0,135211.25957551788,1.0,2.0,38.0,7.68e-07,3671.6000000000004,90350.58418877597,36405.87538674193,4783.2,4096.0,7680.0,684000.0,695776.0,10
10,10,DRAM,Samsung PM9A3,Fujifilm LTO Ultrium 9,10004.572328847999,10.0,118385.69167082282,1.0,2.0,25.0,7.68e-07,2697.8,79472.92736682283,33757.364304,2457.6,4096.0,7680.0,450000.0,461776.0,10
10,10,DRAM,Samsung PM9A3,Project Silica,2004.5784728479998,10.0,118222.3136996699,1.0,2.0,48.0,7.68e-07,2542.4,79464.94939566992,33757.364304,2457.6,4096.0,7680.0,336000.0,347776.0,10
10,10,Samsung PM9A3,DRAM,Samsung PM9A3,4.660009352832001,10.0,122496.78205093785,2.0,1.0,2.0,4.096e-07,3737.6000000000004,79994.564200643,33849.417850294856,4915.2,7680.0,4096.0,7680.0,19456.0,10
10,10,Samsung PM9A3,DRAM,Seagate Exos X18,8.740007681664,10.0,135211.26449478287,2.0,1.0,38.0,4.096e-07,3671.6000000000004,90350.58815881384,36405.87633596903,4783.2,7680.0,4096.0,684000.0,695776.0,10
10,10,Samsung PM9A3,DRAM,Fujifilm LTO Ultrium 9,10004.575913385599,10.0,118385.6917423055,2.0,1.0,25.0,4.096e-07,2697.8,79472.9274383055,33757.364304,2457.6,7680.0,4096.0,450000.0,461776.0,10
10,10,Samsung PM9A3,DRAM,Project Silica,2004.5791901855998,10.0,118222.31376829327,2.0,1.0,48.0,4.096e-07,2542.4,79464.94946429328,33757.364304,2457.6,7680.0,4096.0,336000.0,347776.0,10
10,10,Samsung PM9A3,Samsung PM9A3,Samsung PM9A3,4.73999878656,10.0,13498.619351508485,2.0,2.0,2.0,7.68e-07,3686.3999999999996,2163.2586702056387,276.1606813028475,7372.799999999999,7680.0,7680.0,7680.0,23040.0,10
10,10,Samsung PM9A3,Samsung PM9A3,Seagate Exos X18,8.81999565312,10.0,26213.097167517903,2.0,2.0,38.0,7.68e-07,3620.3999999999996,12519.278916775978,2832.6182507419267,7240.799999999999,7680.0,7680.0,684000.0,699360.0,10
10,10,Samsung PM9A3,Samsung PM9A3,Fujifilm LTO Ultrium 9,10004.652318847999,10.0,9387.529262822836,2.0,2.0,25.0,7.68e-07,2646.6,1641.6220948228363,184.107168,4915.2,7680.0,7680.0,450000.0,465360.0,10
10,10,Samsung PM9A3,Samsung PM9A3,Project Silica,2004.658462848,10.0,9224.151291669923,2.0,2.0,48.0,7.68e-07,2491.2,1633.6441236699227,184.107168,4915.2,7680.0,7680.0,336000.0,351360.0,10
